Incident.year,Recovery.status,Provoked.unprovoked,Victim.activity
1791,fatal,unprovoked,swimming
1803,injured,unprovoked,swimming
1807,injured,unprovoked,swimming
1820,fatal,provoked,swimming
1825,injured,unprovoked,swimming
1830,injured,unprovoked,swimming
1832,injured,provoked,swimming
1832,injured,provoked,fishing
1836,injured,unprovoked,swimming
1836,fatal,unprovoked,swimming
1836,fatal,unprovoked,swimming
1837,fatal,unprovoked,swimming
1839,fatal,provoked,swimming
1840,fatal,unprovoked,swimming
1841,fatal,unprovoked,swimming
1847,injured,unprovoked,swimming
1847,injured,unprovoked,swimming
1849,fatal,provoked,swimming
1849,injured,unprovoked,swimming
1849,fatal,unprovoked,swimming
1850,fatal,unprovoked,swimming
1850,injured,unprovoked,swimming
1853,injured,provoked,swimming
1855,injured,unprovoked,swimming
1855,uninjured,unprovoked,swimming
1855,fatal,unprovoked,swimming
1855,fatal,unprovoked,swimming
1856,injured,unprovoked,swimming
1856,injured,unprovoked,
1858,fatal,unprovoked,swimming
1860,injured,unprovoked,swimming
1861,injured,unprovoked,swimming
1862,injured,unprovoked,swimming
1862,fatal,unprovoked,swimming
1863,fatal,unprovoked,swimming
1863,fatal,provoked,swimming
1863,injured,unprovoked,swimming
1863,fatal,unprovoked,
1865,fatal,unprovoked,swimming
1868,injured,unprovoked,swimming
1869,injured,unprovoked,swimming
1869,injured,provoked,fishing
1870,injured,unprovoked,swimming
1870,injured,provoked,spearfishing
1872,injured,unprovoked,swimming
1873,uninjured,unprovoked,unmotorised boating
1874,injured,unprovoked,swimming
1874,injured,unprovoked,swimming
1874,injured,provoked,swimming
1875,injured,unprovoked,swimming
1875,fatal,provoked,snorkelling
1875,injured,provoked,swimming
1875,injured,unprovoked,swimming
1876,injured,provoked,snorkelling
1876,injured,unprovoked,swimming
1876,fatal,provoked,snorkelling
1876,fatal,unprovoked,swimming
1876,uninjured,provoked,diving
1876,injured,unprovoked,swimming
1877,fatal,unprovoked,swimming
1877,injured,unprovoked,swimming
1877,injured,unprovoked,swimming
1877,injured,unprovoked,swimming
1877,injured,provoked,swimming
1878,injured,provoked,snorkelling
1878,injured,unprovoked,swimming
1878,injured,provoked,fishing
1878,injured,unprovoked,swimming
1879,fatal,unprovoked,swimming
1879,injured,unprovoked,swimming
1880,fatal,unprovoked,swimming
1880,injured,unprovoked,swimming
1880,injured,unprovoked,swimming
1880,fatal,unprovoked,swimming
1881,uninjured,unprovoked,swimming
1881,injured,unprovoked,
1881,injured,provoked,spearfishing
1881,fatal,unprovoked,swimming
1881,injured,unprovoked,swimming
1882,injured,provoked,snorkelling
1882,fatal,unprovoked,
1882,injured,unprovoked,swimming
1882,fatal,provoked,snorkelling
1882,fatal,provoked,snorkelling
1883,fatal,unprovoked,swimming
1883,fatal,unprovoked,swimming
1883,uninjured,provoked,swimming
1884,fatal,unprovoked,swimming
1885,uninjured,unprovoked,swimming
1885,injured,unprovoked,swimming
1886,uninjured,unprovoked,swimming
1886,injured,unprovoked,swimming
1887,uninjured,unprovoked,unmotorised boating
1887,fatal,unprovoked,swimming
1888,injured,provoked,snorkelling
1888,fatal,unprovoked,swimming
1889,fatal,unprovoked,swimming
1890,injured,unprovoked,swimming
1891,uninjured,provoked,diving
1891,injured,provoked,snorkelling
1892,fatal,provoked,diving
1892,injured,unprovoked,swimming
1892,injured,unprovoked,swimming
1892,injured,unprovoked,swimming
1893,uninjured,provoked,fishing
1893,fatal,unprovoked,swimming
1893,injured,unprovoked,swimming
1894,injured,unprovoked,swimming
1895,uninjured,unprovoked,unmotorised boating
1895,fatal,unprovoked,swimming
1895,injured,unprovoked,swimming
1895,fatal,provoked,diving
1895,fatal,provoked,swimming
1895,uninjured,provoked,diving
1895,fatal,unprovoked,swimming
1896,fatal,unprovoked,swimming
1896,fatal,unprovoked,swimming
1897,injured,unprovoked,swimming
1897,injured,unprovoked,swimming
1898,injured,provoked,fishing
1898,injured,provoked,fishing
1899,injured,unprovoked,swimming
1899,injured,unprovoked,swimming
1900,injured,unprovoked,swimming
1900,injured,unprovoked,swimming
1900,injured,unprovoked,swimming
1900,fatal,provoked,snorkelling
1900,fatal,unprovoked,swimming
1901,injured,unprovoked,swimming
1901,fatal,unprovoked,swimming
1901,injured,provoked,swimming
1901,injured,provoked,snorkelling
1901,injured,provoked,snorkelling
1901,injured,unprovoked,swimming
1902,injured,unprovoked,swimming
1902,injured,provoked,swimming
1903,fatal,unprovoked,swimming
1903,uninjured,provoked,fishing
1903,fatal,unprovoked,swimming
1903,uninjured,provoked,diving
1904,injured,unprovoked,swimming
1905,injured,unprovoked,swimming
1905,fatal,provoked,snorkelling
1906,fatal,unprovoked,swimming
1906,fatal,unprovoked,swimming
1906,fatal,provoked,snorkelling
1906,uninjured,unprovoked,motorised boating
1907,fatal,unprovoked,swimming
1907,injured,provoked,snorkelling
1907,injured,unprovoked,swimming
1907,fatal,unprovoked,swimming
1909,injured,unprovoked,swimming
1910,fatal,unprovoked,swimming
1910,injured,unprovoked,swimming
1910,uninjured,unprovoked,swimming
1910,injured,unprovoked,swimming
1911,uninjured,unprovoked,swimming
1911,fatal,unprovoked,swimming
1911,injured,provoked,snorkelling
1912,injured,unprovoked,swimming
1912,fatal,unprovoked,swimming
1912,fatal,unprovoked,swimming
1912,uninjured,provoked,diving
1912,injured,provoked,fishing
1912,injured,unprovoked,swimming
1912,injured,unprovoked,swimming
1913,injured,provoked,snorkelling
1913,injured,provoked,fishing
1913,injured,provoked,swimming
1913,injured,unprovoked,swimming
1913,injured,unprovoked,swimming
1914,uninjured,unprovoked,unmotorised boating
1914,injured,unprovoked,swimming
1914,injured,unprovoked,unmotorised boating
1914,injured,provoked,spearfishing
1914,injured,provoked,fishing
1914,fatal,unprovoked,swimming
1914,injured,unprovoked,swimming
1914,injured,provoked,
1915,fatal,unprovoked,swimming
1915,injured,unprovoked,unmotorised boating
1915,injured,unprovoked,swimming
1915,injured,unprovoked,swimming
1916,uninjured,provoked,diving
1916,injured,unprovoked,swimming
1916,fatal,unprovoked,swimming
1916,fatal,unprovoked,swimming
1916,injured,provoked,snorkelling
1916,fatal,provoked,snorkelling
1916,fatal,unprovoked,other: standing in water
1916,fatal,unprovoked,swimming
1917,injured,provoked,fishing
1917,injured,unprovoked,swimming
1918,injured,provoked,fishing
1918,injured,unprovoked,swimming
1918,injured,provoked,swimming
1918,injured,unprovoked,swimming
1918,uninjured,provoked,diving
1918,uninjured,unprovoked,swimming
1918,fatal,unprovoked,swimming
1918,fatal,provoked,snorkelling
1919,injured,unprovoked,swimming
1919,fatal,unprovoked,swimming
1919,fatal,unprovoked,swimming
1919,injured,provoked,swimming
1919,fatal,unprovoked,swimming
1920,fatal,unprovoked,swimming
1920,uninjured,provoked,spearfishing
1920,injured,unprovoked,swimming
1920,injured,provoked,snorkelling
1920,injured,provoked,snorkelling
1920,injured,unprovoked,other: standing in water
1920,injured,unprovoked,other: standing in water
1920,injured,provoked,fishing
1920,injured,unprovoked,swimming
1921,injured,provoked,snorkelling
1921,fatal,unprovoked,swimming
1921,fatal,unprovoked,swimming
1921,injured,unprovoked,swimming
1921,injured,unprovoked,swimming
1922,injured,unprovoked,swimming
1922,fatal,unprovoked,swimming
1922,fatal,unprovoked,swimming
1922,fatal,unprovoked,swimming
1922,fatal,unprovoked,swimming
1923,fatal,unprovoked,swimming
1923,uninjured,provoked,swimming
1923,injured,unprovoked,swimming
1923,fatal,provoked,snorkelling
1923,injured,provoked,fishing
1923,injured,provoked,snorkelling
1923,fatal,unprovoked,swimming
1923,injured,provoked,snorkelling
1923,fatal,provoked,
1923,fatal,provoked,
1923,injured,unprovoked,swimming
1924,fatal,unprovoked,swimming
1924,injured,unprovoked,swimming
1924,injured,unprovoked,swimming
1924,fatal,unprovoked,swimming
1924,injured,unprovoked,swimming
1925,injured,unprovoked,swimming
1925,fatal,unprovoked,swimming
1925,fatal,unprovoked,swimming
1926,fatal,unprovoked,swimming
1926,injured,unprovoked,swimming
1926,injured,provoked,snorkelling
1926,fatal,provoked,snorkelling
1927,injured,provoked,snorkelling
1927,fatal,unprovoked,swimming
1927,uninjured,unprovoked,swimming
1927,injured,unprovoked,swimming
1927,injured,provoked,
1927,injured,provoked,snorkelling
1927,fatal,unprovoked,swimming
1927,uninjured,provoked,diving
1928,fatal,provoked,
1928,fatal,provoked,snorkelling
1928,injured,provoked,snorkelling
1928,injured,unprovoked,swimming
1928,injured,unprovoked,swimming
1928,fatal,unprovoked,swimming
1928,injured,unprovoked,swimming
1928,injured,provoked,snorkelling
1929,fatal,unprovoked,swimming
1929,injured,provoked,fishing
1929,fatal,unprovoked,swimming
1929,injured,provoked,snorkelling
1929,fatal,unprovoked,swimming
1929,fatal,unprovoked,swimming
1929,uninjured,unprovoked,unmotorised boating
1929,injured,provoked,snorkelling
1929,injured,unprovoked,unmotorised boating
1929,injured,unprovoked,unmotorised boating
1929,fatal,unprovoked,swimming
1929,injured,provoked,snorkelling
1929,injured,provoked,fishing
1929,fatal,unprovoked,swimming
1929,injured,provoked,snorkelling
1929,injured,provoked,spearfishing
1929,fatal,unprovoked,swimming
1929,injured,unprovoked,swimming
1929,fatal,unprovoked,swimming
1929,injured,unprovoked,swimming
1929,fatal,unprovoked,swimming
1929,injured,unprovoked,swimming
1929,uninjured,unprovoked,swimming
1930,injured,provoked,spearfishing
1930,fatal,unprovoked,swimming
1930,injured,unprovoked,swimming
1930,fatal,unprovoked,swimming
1930,fatal,provoked,snorkelling
1930,injured,provoked,fishing
1930,injured,unprovoked,swimming
1931,injured,provoked,fishing
1931,injured,unprovoked,swimming
1931,injured,provoked,snorkelling
1931,injured,provoked,snorkelling
1931,fatal,provoked,swimming
1931,injured,provoked,snorkelling
1932,injured,unprovoked,swimming
1932,injured,provoked,fishing
1932,injured,provoked,fishing
1932,injured,provoked,snorkelling
1932,fatal,unprovoked,swimming
1932,injured,unprovoked,swimming
1932,injured,unprovoked,swimming
1932,injured,unprovoked,swimming
1933,fatal,unprovoked,swimming
1933,uninjured,provoked,fishing
1933,injured,provoked,snorkelling
1933,injured,provoked,snorkelling
1933,uninjured,provoked,fishing
1933,injured,unprovoked,swimming
1933,uninjured,provoked,diving
1933,fatal,provoked,snorkelling
1933,injured,provoked,snorkelling
1933,injured,provoked,swimming
1934,injured,unprovoked,swimming
1934,injured,unprovoked,swimming
1934,uninjured,provoked,snorkelling
1934,injured,provoked,spearfishing
1934,fatal,unprovoked,swimming
1934,injured,unprovoked,swimming
1934,fatal,unprovoked,swimming
1934,fatal,unprovoked,swimming
1934,fatal,provoked,snorkelling
1934,fatal,unprovoked,swimming
1934,injured,unprovoked,swimming
1934,fatal,unprovoked,swimming
1934,fatal,unprovoked,swimming
1934,injured,unprovoked,swimming
1935,fatal,unprovoked,swimming
1935,injured,unprovoked,boarding
1935,fatal,unprovoked,swimming
1935,injured,unprovoked,snorkelling
1935,injured,provoked,snorkelling
1935,fatal,unprovoked,swimming
1935,injured,provoked,snorkelling
1935,fatal,provoked,snorkelling
1935,injured,provoked,snorkelling
1936,uninjured,provoked,boarding
1936,injured,provoked,snorkelling
1936,fatal,unprovoked,swimming
1936,fatal,unprovoked,swimming
1936,uninjured,unprovoked,unmotorised boating
1936,injured,provoked,snorkelling
1936,injured,unprovoked,swimming
1936,injured,provoked,snorkelling
1936,injured,provoked,snorkelling
1936,fatal,provoked,snorkelling
1936,injured,provoked,snorkelling
1936,injured,provoked,snorkelling
1936,injured,provoked,swimming
1936,injured,unprovoked,swimming
1936,fatal,unprovoked,swimming
1937,injured,unprovoked,swimming
1937,fatal,unprovoked,swimming
1937,injured,unprovoked,swimming
1937,fatal,unprovoked,swimming
1937,injured,provoked,snorkelling
1937,injured,unprovoked,swimming
1937,fatal,unprovoked,swimming
1937,fatal,unprovoked,swimming
1937,injured,unprovoked,swimming
1937,injured,provoked,snorkelling
1938,injured,provoked,fishing
1938,injured,provoked,swimming
1938,uninjured,unprovoked,boarding
1938,injured,unprovoked,unmotorised boating
1938,fatal,provoked,diving
1938,fatal,provoked,diving
1938,injured,provoked,fishing
1938,injured,provoked,swimming
1939,uninjured,provoked,fishing
1939,injured,provoked,snorkelling
1939,injured,unprovoked,swimming
1939,injured,provoked,snorkelling
1939,injured,unprovoked,swimming
1939,fatal,unprovoked,swimming
1940,injured,provoked,snorkelling
1940,injured,unprovoked,swimming
1940,injured,unprovoked,swimming
1940,fatal,unprovoked,swimming
1940,fatal,unprovoked,swimming
1940,injured,provoked,snorkelling
1940,injured,unprovoked,swimming
1940,fatal,unprovoked,swimming
1941,injured,unprovoked,swimming
1941,fatal,unprovoked,swimming
1941,injured,unprovoked,swimming
1941,injured,unprovoked,swimming
1942,fatal,unprovoked,swimming
1942,uninjured,provoked,boarding
1942,injured,provoked,snorkelling
1942,injured,provoked,snorkelling
1942,injured,unprovoked,swimming
1942,fatal,unprovoked,swimming
1943,injured,unprovoked,swimming
1944,injured,unprovoked,boarding
1945,injured,provoked,fishing
1945,fatal,unprovoked,swimming
1946,injured,unprovoked,swimming
1946,fatal,unprovoked,swimming
1946,injured,unprovoked,swimming
1946,fatal,unprovoked,swimming
1946,fatal,unprovoked,swimming
1946,injured,unprovoked,swimming
1946,fatal,provoked,snorkelling
1946,injured,unprovoked,swimming
1947,uninjured,provoked,diving
1947,injured,unprovoked,other: standing in water
1947,fatal,unprovoked,swimming
1947,injured,unprovoked,swimming
1947,injured,provoked,fishing
1948,injured,provoked,swimming
1948,fatal,unprovoked,swimming
1948,injured,provoked,snorkelling
1948,fatal,unprovoked,swimming
1948,uninjured,provoked,spearfishing
1949,uninjured,provoked,boarding
1949,injured,provoked,
1949,uninjured,unprovoked,boarding
1949,fatal,unprovoked,swimming
1949,uninjured,unprovoked,boarding
1949,fatal,unprovoked,swimming
1949,injured,unprovoked,swimming
1949,injured,unprovoked,swimming
1949,injured,unprovoked,swimming
1949,fatal,unprovoked,swimming
1949,injured,provoked,swimming
1950,injured,provoked,swimming
1950,fatal,unprovoked,swimming
1950,injured,unprovoked,swimming
1950,uninjured,unprovoked,unmotorised boating
1950,fatal,unprovoked,swimming
1951,injured,provoked,spearfishing
1951,injured,unprovoked,swimming
1951,injured,provoked,boarding
1951,fatal,unprovoked,swimming
1951,fatal,unprovoked,swimming
1951,fatal,unprovoked,swimming
1951,uninjured,unprovoked,boarding
1952,injured,unprovoked,boarding
1952,uninjured,provoked,
1952,injured,provoked,fishing
1952,injured,unprovoked,swimming
1952,injured,provoked,fishing
1953,injured,provoked,spearfishing
1953,injured,provoked,spearfishing
1953,injured,provoked,spearfishing
1953,injured,provoked,spearfishing
1953,uninjured,unprovoked,swimming
1953,injured,unprovoked,swimming
1953,injured,unprovoked,swimming
1954,injured,provoked,
1954,injured,provoked,spearfishing
1954,injured,unprovoked,swimming
1954,fatal,unprovoked,swimming
1954,injured,provoked,snorkelling
1954,fatal,provoked,spearfishing
1955,fatal,provoked,spearfishing
1955,fatal,unprovoked,swimming
1955,fatal,unprovoked,swimming
1955,injured,provoked,spearfishing
1956,injured,provoked,snorkelling
1956,fatal,unprovoked,swimming
1956,injured,unprovoked,swimming
1956,uninjured,provoked,spearfishing
1956,uninjured,unprovoked,diving
1956,fatal,unprovoked,swimming
1956,injured,provoked,snorkelling
1956,injured,provoked,diving
1957,uninjured,unprovoked,boarding
1957,fatal,unprovoked,swimming
1957,injured,unprovoked,swimming
1957,injured,provoked,swimming
1957,injured,provoked,spearfishing
1957,injured,provoked,snorkelling
1958,injured,unprovoked,swimming
1958,injured,provoked,spearfishing
1958,uninjured,provoked,fishing
1958,fatal,provoked,spearfishing
1958,uninjured,provoked,spearfishing
1958,injured,provoked,spearfishing
1958,fatal,unprovoked,swimming
1959,injured,provoked,fishing
1959,injured,unprovoked,swimming
1959,fatal,provoked,swimming
1959,injured,unprovoked,unmotorised boating
1959,uninjured,provoked,spearfishing
1959,injured,provoked,
1959,injured,provoked,swimming
1959,injured,unprovoked,swimming
1959,fatal,unprovoked,swimming
1959,uninjured,provoked,boarding
1960,injured,provoked,spearfishing
1960,fatal,unprovoked,snorkelling
1960,injured,provoked,spearfishing
1960,injured,unprovoked,swimming
1960,uninjured,provoked,spearfishing
1960,injured,unprovoked,swimming
1960,injured,provoked,spearfishing
1960,injured,unprovoked,swimming
1960,injured,unprovoked,swimming
1961,injured,provoked,swimming
1961,injured,unprovoked,swimming
1961,uninjured,provoked,spearfishing
1961,injured,provoked,spearfishing
1961,injured,unprovoked,swimming
1961,injured,provoked,spearfishing
1961,uninjured,provoked,spearfishing
1961,fatal,unprovoked,boarding
1961,injured,unprovoked,swimming
1961,fatal,unprovoked,swimming
1961,injured,unprovoked,swimming
1962,injured,unprovoked,boarding
1962,uninjured,unprovoked,boarding
1962,injured,provoked,swimming
1962,uninjured,provoked,spearfishing
1962,fatal,provoked,spearfishing
1963,fatal,unprovoked,other: standing in water
1963,injured,provoked,spearfishing
1963,injured,unprovoked,boarding
1963,injured,provoked,spearfishing
1964,uninjured,provoked,spearfishing
1964,injured,provoked,spearfishing
1964,injured,unprovoked,boarding
1964,injured,provoked,swimming
1964,injured,provoked,snorkelling
1965,injured,provoked,other: standing in water
1965,injured,unprovoked,boarding
1965,injured,provoked,spearfishing
1966,injured,unprovoked,swimming
1966,fatal,unprovoked,swimming
1966,uninjured,provoked,spearfishing
1966,injured,provoked,spearfishing
1966,injured,provoked,spearfishing
1966,injured,provoked,swimming
1966,injured,provoked,spearfishing
1967,injured,provoked,spearfishing
1967,fatal,provoked,spearfishing
1968,injured,unprovoked,swimming
1968,uninjured,provoked,spearfishing
1968,uninjured,provoked,diving
1969,injured,provoked,snorkelling
1969,injured,provoked,spearfishing
1969,injured,unprovoked,swimming
1971,injured,unprovoked,swimming
1971,injured,provoked,spearfishing
1971,fatal,unprovoked,swimming
1972,injured,unprovoked,boarding
1972,injured,unprovoked,swimming
1972,injured,provoked,diving
1972,injured,unprovoked,boarding
1972,injured,provoked,spearfishing
1972,uninjured,provoked,diving
1973,injured,unprovoked,boarding
1973,injured,unprovoked,swimming
1973,injured,unprovoked,boarding
1973,injured,unprovoked,swimming
1974,fatal,provoked,diving
1974,fatal,unprovoked,swimming
1974,injured,unprovoked,diving
1975,fatal,unprovoked,boarding
1975,injured,unprovoked,boarding
1975,fatal,provoked,snorkelling
1975,injured,provoked,snorkelling
1975,injured,unprovoked,swimming
1975,injured,unprovoked,boarding
1975,fatal,provoked,diving
1975,injured,provoked,spearfishing
1976,injured,provoked,spearfishing
1977,injured,unprovoked,boarding
1977,fatal,unprovoked,swimming
1977,fatal,unprovoked,swimming
1977,injured,unprovoked,swimming
1977,fatal,unprovoked,snorkelling
1977,injured,unprovoked,boarding
1978,uninjured,unprovoked,boarding
1978,uninjured,provoked,diving
1978,injured,unprovoked,swimming
1979,uninjured,provoked,swimming
1979,injured,unprovoked,swimming
1980,injured,provoked,diving
1980,injured,provoked,spearfishing
1980,injured,unprovoked,boarding
1980,uninjured,unprovoked,boarding
1980,injured,provoked,diving
1980,injured,unprovoked,swimming
1981,uninjured,unprovoked,boarding
1981,injured,unprovoked,swimming
1981,injured,unprovoked,other: standing in water
1981,injured,unprovoked,swimming
1982,uninjured,provoked,diving
1982,fatal,provoked,spearfishing
1982,fatal,unprovoked,boarding
1983,uninjured,unprovoked,swimming
1983,fatal,unprovoked,swimming
1983,fatal,unprovoked,swimming
1983,injured,unprovoked,swimming
1983,injured,provoked,diving
1984,injured,unprovoked,swimming
1984,injured,unprovoked,other: standing in water
1984,injured,unprovoked,other: standing in water
1984,uninjured,provoked,diving
1984,injured,unprovoked,other: standing in water
1984,uninjured,unprovoked,boarding
1984,uninjured,provoked,diving
1984,fatal,unprovoked,swimming
1985,uninjured,unprovoked,boarding
1985,injured,provoked,diving
1985,fatal,unprovoked,snorkelling
1985,injured,provoked,diving
1985,injured,provoked,diving
1986,fatal,provoked,spearfishing
1986,injured,provoked,swimming
1986,injured,unprovoked,diving
1986,injured,unprovoked,diving
1986,uninjured,unprovoked,boarding
1987,injured,unprovoked,swimming
1987,injured,provoked,diving
1987,injured,provoked,diving
1987,fatal,unprovoked,boarding
1987,injured,unprovoked,boarding
1987,injured,unprovoked,swimming
1987,fatal,unprovoked,diving
1987,injured,unprovoked,swimming
1987,uninjured,provoked,diving
1988,injured,unprovoked,swimming
1988,injured,unprovoked,boarding
1988,uninjured,provoked,spearfishing
1988,injured,unprovoked,boarding
1988,fatal,unprovoked,swimming
1988,fatal,unprovoked,swimming
1989,injured,provoked,diving
1989,uninjured,unprovoked,boarding
1989,injured,unprovoked,snorkelling
1989,injured,unprovoked,boarding
1989,uninjured,provoked,snorkelling
1989,injured,provoked,spearfishing
1989,fatal,unprovoked,boarding
1989,uninjured,unprovoked,boarding
1989,uninjured,unprovoked,boarding
1989,injured,unprovoked,swimming
1989,injured,unprovoked,boarding
1989,injured,unprovoked,swimming
1989,injured,unprovoked,diving
1989,injured,provoked,swimming
1990,uninjured,unprovoked,boarding
1990,uninjured,unprovoked,boarding
1990,fatal,provoked,snorkelling
1990,injured,provoked,snorkelling
1990,injured,provoked,snorkelling
1990,injured,unprovoked,other: standing in water
1990,injured,unprovoked,swimming
1990,injured,unprovoked,boarding
1990,injured,unprovoked,swimming
1991,injured,unprovoked,boarding
1991,uninjured,provoked,spearfishing
1991,uninjured,unprovoked,snorkelling
1991,injured,unprovoked,swimming
1991,injured,provoked,diving
1991,fatal,unprovoked,diving
1991,injured,unprovoked,boarding
1992,injured,unprovoked,boarding
1992,uninjured,unprovoked,boarding
1992,uninjured,provoked,
1992,injured,unprovoked,boarding
1992,injured,unprovoked,boarding
1992,fatal,unprovoked,boarding
1993,injured,provoked,spearfishing
1993,uninjured,provoked,spearfishing
1993,injured,provoked,spearfishing
1993,fatal,unprovoked,diving
1993,fatal,unprovoked,diving
1993,fatal,provoked,diving
1993,uninjured,unprovoked,boarding
1994,injured,unprovoked,swimming
1994,injured,unprovoked,swimming
1994,injured,provoked,fishing
1994,injured,unprovoked,swimming
1994,injured,provoked,diving
1995,uninjured,provoked,diving
1995,injured,unprovoked,boarding
1995,injured,unprovoked,boarding
1995,uninjured,unprovoked,boarding
1995,injured,unprovoked,diving
1995,uninjured,unprovoked,diving
1995,fatal,unprovoked,diving
1995,injured,unprovoked,other: standing in water
1995,injured,provoked,
1995,injured,unprovoked,swimming
1995,injured,unprovoked,swimming
1996,injured,unprovoked,other: standing in water
1996,injured,provoked,spearfishing
1996,injured,unprovoked,swimming
1996,injured,provoked,other: standing in water
1996,injured,unprovoked,swimming
1996,injured,unprovoked,swimming
1996,injured,unprovoked,swimming
1996,uninjured,unprovoked,boarding
1996,injured,unprovoked,other: standing in water
1996,injured,unprovoked,boarding
1996,injured,unprovoked,boarding
1997,injured,unprovoked,snorkelling
1997,injured,unprovoked,boarding
1997,uninjured,unprovoked,unmotorised boating
1997,injured,unprovoked,diving
1997,injured,unprovoked,swimming
1997,uninjured,unprovoked,unmotorised boating
1997,injured,unprovoked,boarding
1997,injured,unprovoked,boarding
1997,uninjured,unprovoked,boarding
1997,injured,unprovoked,diving
1997,injured,unprovoked,other: standing in water
1997,injured,unprovoked,swimming
1997,injured,unprovoked,swimming
1998,injured,provoked,diving
1998,uninjured,unprovoked,snorkelling
1998,injured,unprovoked,boarding
1998,fatal,unprovoked,snorkelling
1998,injured,unprovoked,diving
1998,injured,provoked,diving
1998,injured,unprovoked,boarding
1998,injured,provoked,spearfishing
1999,injured,unprovoked,boarding
1999,fatal,unprovoked,boarding
1999,injured,provoked,diving
1999,uninjured,unprovoked,diving
1999,uninjured,provoked,diving
2000,uninjured,unprovoked,boarding
2000,injured,unprovoked,boarding
2000,injured,unprovoked,swimming
2000,injured,unprovoked,swimming
2000,injured,unprovoked,boarding
2000,uninjured,unprovoked,boarding
2000,injured,unprovoked,swimming
2000,uninjured,unprovoked,unmotorised boating
2000,uninjured,unprovoked,boarding
2000,injured,provoked,other: standing in water
2000,fatal,unprovoked,boarding
2000,fatal,unprovoked,boarding
2000,uninjured,provoked,diving
2000,injured,unprovoked,swimming
2000,uninjured,unprovoked,swimming
2000,uninjured,provoked,diving
2000,fatal,unprovoked,swimming
2000,injured,provoked,spearfishing
2000,injured,unprovoked,diving
2001,uninjured,unprovoked,boarding
